respondent_id,brand,rating_type,area
1,Best Western,well,Reducing the amount of laundry and/or room cleaning
5,Best Western,well,None of the above
26,Best Western,well,Wide range of organic food & drink
26,Best Western,well,Accessibility for people with disabilities
26,Best Western,well,Making climate-smart travel easy through offerings and information
26,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
26,Best Western,well,Charging stations for electric cars
34,Best Western,well,Wide range of organic food & drink
34,Best Western,well,Engaging with the local community about sustainability matters
74,Best Western,well,Diversity and inclusion towards guests and employees
74,Best Western,well,Practices gender equality towards guests and employees
74,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
86,Best Western,well,None of the above
88,Best Western,well,None of the above
92,Best Western,well,Reducing the amount of laundry and/or room cleaning
92,Best Western,well,Accessibility for people with disabilities
92,Best Western,well,Diversity and inclusion towards guests and employees
97,Best Western,well,Reducing food waste
97,Best Western,well,Reducing water use in operations
97,Best Western,well,Reducing the climate impact of the hotel in general
97,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
106,Best Western,well,None of the above
108,Best Western,well,Locally produced food & drink
108,Best Western,well,Reducing energy use in hotels
108,Best Western,well,Reducing the amount of laundry and/or room cleaning
108,Best Western,well,Practices gender equality towards guests and employees
120,Best Western,well,Reducing the amount of laundry and/or room cleaning
120,Best Western,well,Reducing the climate impact of the hotel in general
120,Best Western,well,Making climate-smart travel easy through offerings and information
127,Best Western,well,Reducing food waste
127,Best Western,well,Working conditions and employee health
127,Best Western,well,Charging stations for electric cars
142,Best Western,well,Practices gender equality towards guests and employees
147,Best Western,well,Reducing the amount of laundry and/or room cleaning
147,Best Western,well,Reducing water use in operations
147,Best Western,well,Reducing the climate impact of the hotel in general
148,Best Western,well,Locally produced food & drink
161,Best Western,well,Reducing food waste
161,Best Western,well,Reducing the amount of laundry and/or room cleaning
161,Best Western,well,Working conditions and employee health
161,Best Western,well,Diversity and inclusion towards guests and employees
170,Best Western,well,None of the above
177,Best Western,well,Reducing the amount of laundry and/or room cleaning
177,Best Western,well,Diversity and inclusion towards guests and employees
182,Best Western,well,Reducing energy use in hotels
182,Best Western,well,Accessibility for people with disabilities
184,Best Western,well,Wide range of vegetarian food
184,Best Western,well,Accessibility for people with disabilities
184,Best Western,well,Diversity and inclusion towards guests and employees
186,Best Western,well,Reducing food waste
186,Best Western,well,Reducing energy use in hotels
186,Best Western,well,Reducing the amount of laundry and/or room cleaning
186,Best Western,well,Diversity and inclusion towards guests and employees
186,Best Western,well,Practices gender equality towards guests and employees
186,Best Western,well,Reducing the climate impact of the hotel in general
188,Best Western,well,Diversity and inclusion towards guests and employees
193,Best Western,well,Working conditions and employee health
195,Best Western,well,Reducing the climate impact of the hotel in general
199,Best Western,well,Reducing water use in operations
199,Best Western,well,Working conditions and employee health
199,Best Western,well,Reducing the climate impact of the hotel in general
203,Best Western,well,Reducing the amount of laundry and/or room cleaning
210,Best Western,well,Locally produced food & drink
210,Best Western,well,Reducing the amount of laundry and/or room cleaning
210,Best Western,well,Reducing the climate impact of the hotel in general
217,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
233,Best Western,well,Reducing the amount of laundry and/or room cleaning
236,Best Western,well,Diversity and inclusion towards guests and employees
238,Best Western,well,Reducing the amount of laundry and/or room cleaning
238,Best Western,well,Accessibility for people with disabilities
238,Best Western,well,Reducing the climate impact of the hotel in general
238,Best Western,well,Charging stations for electric cars
247,Best Western,well,None of the above
252,Best Western,well,None of the above
266,Best Western,well,Reducing energy use in hotels
