respondent_id,brand,perception_type,perception
1,Best Western,general,4. Fairly positive perception
3,Best Western,general,3. Neither positive nor negative perception
5,Best Western,general,4. Fairly positive perception
7,Best Western,general,4. Fairly positive perception
8,Best Western,general,3. Neither positive nor negative perception
13,Best Western,general,I Don´t know the company
14,Best Western,general,3. Neither positive nor negative perception
16,Best Western,general,3. Neither positive nor negative perception
18,Best Western,general,3. Neither positive nor negative perception
20,Best Western,general,3. Neither positive nor negative perception
24,Best Western,general,3. Neither positive nor negative perception
25,Best Western,general,I Don´t know the company
26,Best Western,general,4. Fairly positive perception
27,Best Western,general,I Don´t know the company
29,Best Western,general,3. Neither positive nor negative perception
34,Best Western,general,4. Fairly positive perception
37,Best Western,general,4. Fairly positive perception
40,Best Western,general,I Don´t know the company
42,Best Western,general,3. Neither positive nor negative perception
46,Best Western,general,4. Fairly positive perception
51,Best Western,general,3. Neither positive nor negative perception
54,Best Western,general,I Don´t know the company
58,Best Western,general,I Don´t know the company
60,Best Western,general,I Don´t know the company
63,Best Western,general,3. Neither positive nor negative perception
68,Best Western,general,3. Neither positive nor negative perception
72,Best Western,general,3. Neither positive nor negative perception
74,Best Western,general,4. Fairly positive perception
77,Best Western,general,3. Neither positive nor negative perception
79,Best Western,general,3. Neither positive nor negative perception
80,Best Western,general,2. Somewhat negative perception
82,Best Western,general,4. Fairly positive perception
85,Best Western,general,4. Fairly positive perception
86,Best Western,general,3. Neither positive nor negative perception
88,Best Western,general,3. Neither positive nor negative perception
92,Best Western,general,3. Neither positive nor negative perception
96,Best Western,general,2. Somewhat negative perception
97,Best Western,general,4. Fairly positive perception
101,Best Western,general,4. Fairly positive perception
104,Best Western,general,4. Fairly positive perception
106,Best Western,general,3. Neither positive nor negative perception
107,Best Western,general,3. Neither positive nor negative perception
108,Best Western,general,3. Neither positive nor negative perception
111,Best Western,general,I Don´t know the company
115,Best Western,general,3. Neither positive nor negative perception
116,Best Western,general,4. Fairly positive perception
119,Best Western,general,3. Neither positive nor negative perception
120,Best Western,general,4. Fairly positive perception
121,Best Western,general,I Don´t know the company
123,Best Western,general,I Don´t know the company
127,Best Western,general,3. Neither positive nor negative perception
128,Best Western,general,4. Fairly positive perception
130,Best Western,general,I Don´t know the company
132,Best Western,general,4. Fairly positive perception
133,Best Western,general,4. Fairly positive perception
135,Best Western,general,3. Neither positive nor negative perception
137,Best Western,general,3. Neither positive nor negative perception
142,Best Western,general,2. Somewhat negative perception
143,Best Western,general,3. Neither positive nor negative perception
144,Best Western,general,4. Fairly positive perception
146,Best Western,general,2. Somewhat negative perception
147,Best Western,general,4. Fairly positive perception
148,Best Western,general,4. Fairly positive perception
150,Best Western,general,3. Neither positive nor negative perception
152,Best Western,general,3. Neither positive nor negative perception
159,Best Western,general,3. Neither positive nor negative perception
160,Best Western,general,4. Fairly positive perception
161,Best Western,general,4. Fairly positive perception
162,Best Western,general,5. Very positive perception
164,Best Western,general,5. Very positive perception
165,Best Western,general,5. Very positive perception
167,Best Western,general,4. Fairly positive perception
170,Best Western,general,3. Neither positive nor negative perception
172,Best Western,general,4. Fairly positive perception
173,Best Western,general,4. Fairly positive perception
174,Best Western,general,I Don´t know the company
177,Best Western,general,5. Very positive perception
179,Best Western,general,5. Very positive perception
181,Best Western,general,3. Neither positive nor negative perception
182,Best Western,general,2. Somewhat negative perception
184,Best Western,general,4. Fairly positive perception
185,Best Western,general,3. Neither positive nor negative perception
186,Best Western,general,4. Fairly positive perception
187,Best Western,general,3. Neither positive nor negative perception
188,Best Western,general,3. Neither positive nor negative perception
189,Best Western,general,3. Neither positive nor negative perception
193,Best Western,general,3. Neither positive nor negative perception
194,Best Western,general,2. Somewhat negative perception
195,Best Western,general,3. Neither positive nor negative perception
196,Best Western,general,3. Neither positive nor negative perception
197,Best Western,general,5. Very positive perception
199,Best Western,general,3. Neither positive nor negative perception
200,Best Western,general,4. Fairly positive perception
203,Best Western,general,3. Neither positive nor negative perception
207,Best Western,general,I Don´t know the company
208,Best Western,general,2. Somewhat negative perception
209,Best Western,general,3. Neither positive nor negative perception
210,Best Western,general,4. Fairly positive perception
211,Best Western,general,4. Fairly positive perception
214,Best Western,general,4. Fairly positive perception
215,Best Western,general,3. Neither positive nor negative perception
217,Best Western,general,4. Fairly positive perception
226,Best Western,general,3. Neither positive nor negative perception
227,Best Western,general,5. Very positive perception
230,Best Western,general,4. Fairly positive perception
231,Best Western,general,4. Fairly positive perception
233,Best Western,general,5. Very positive perception
236,Best Western,general,4. Fairly positive perception
237,Best Western,general,3. Neither positive nor negative perception
238,Best Western,general,4. Fairly positive perception
240,Best Western,general,4. Fairly positive perception
241,Best Western,general,3. Neither positive nor negative perception
243,Best Western,general,5. Very positive perception
245,Best Western,general,3. Neither positive nor negative perception
246,Best Western,general,4. Fairly positive perception
247,Best Western,general,3. Neither positive nor negative perception
250,Best Western,general,2. Somewhat negative perception
251,Best Western,general,4. Fairly positive perception
252,Best Western,general,3. Neither positive nor negative perception
253,Best Western,general,5. Very positive perception
255,Best Western,general,3. Neither positive nor negative perception
256,Best Western,general,4. Fairly positive perception
258,Best Western,general,2. Somewhat negative perception
264,Best Western,general,3. Neither positive nor negative perception
266,Best Western,general,3. Neither positive nor negative perception
268,Best Western,general,4. Fairly positive perception
270,Best Western,general,2. Somewhat negative perception
271,Best Western,general,4. Fairly positive perception
274,Best Western,general,3. Neither positive nor negative perception
279,Best Western,general,3. Neither positive nor negative perception
280,Best Western,general,4. Fairly positive perception
281,Best Western,general,4. Fairly positive perception
282,Best Western,general,4. Fairly positive perception
283,Best Western,general,2. Somewhat negative perception
284,Best Western,general,4. Fairly positive perception
286,Best Western,general,I Don´t know the company
287,Best Western,general,3. Neither positive nor negative perception
289,Best Western,general,3. Neither positive nor negative perception
290,Best Western,general,4. Fairly positive perception
292,Best Western,general,4. Fairly positive perception
295,Best Western,general,3. Neither positive nor negative perception
297,Best Western,general,4. Fairly positive perception
300,Best Western,general,3. Neither positive nor negative perception
302,Best Western,general,3. Neither positive nor negative perception
304,Best Western,general,4. Fairly positive perception
306,Best Western,general,5. Very positive perception
308,Best Western,general,2. Somewhat negative perception
311,Best Western,general,2. Somewhat negative perception
314,Best Western,general,3. Neither positive nor negative perception
315,Best Western,general,2. Somewhat negative perception
319,Best Western,general,3. Neither positive nor negative perception
320,Best Western,general,4. Fairly positive perception
323,Best Western,general,2. Somewhat negative perception
329,Best Western,general,3. Neither positive nor negative perception
330,Best Western,general,4. Fairly positive perception
334,Best Western,general,2. Somewhat negative perception
336,Best Western,general,2. Somewhat negative perception
337,Best Western,general,2. Somewhat negative perception
339,Best Western,general,4. Fairly positive perception
341,Best Western,general,4. Fairly positive perception
342,Best Western,general,3. Neither positive nor negative perception
346,Best Western,general,5. Very positive perception
348,Best Western,general,3. Neither positive nor negative perception
350,Best Western,general,4. Fairly positive perception
352,Best Western,general,4. Fairly positive perception
353,Best Western,general,3. Neither positive nor negative perception
359,Best Western,general,3. Neither positive nor negative perception
362,Best Western,general,4. Fairly positive perception
363,Best Western,general,I Don´t know the company
364,Best Western,general,4. Fairly positive perception
365,Best Western,general,4. Fairly positive perception
369,Best Western,general,4. Fairly positive perception
371,Best Western,general,4. Fairly positive perception
377,Best Western,general,4. Fairly positive perception
378,Best Western,general,4. Fairly positive perception
380,Best Western,general,5. Very positive perception
381,Best Western,general,3. Neither positive nor negative perception
383,Best Western,general,I Don´t know the company
384,Best Western,general,4. Fairly positive perception
390,Best Western,general,4. Fairly positive perception
391,Best Western,general,4. Fairly positive perception
393,Best Western,general,4. Fairly positive perception
395,Best Western,general,4. Fairly positive perception
396,Best Western,general,3. Neither positive nor negative perception
397,Best Western,general,I Don´t know the company
399,Best Western,general,5. Very positive perception
400,Best Western,general,I Don´t know the company
401,Best Western,general,5. Very positive perception
404,Best Western,general,2. Somewhat negative perception
405,Best Western,general,3. Neither positive nor negative perception
406,Best Western,general,3. Neither positive nor negative perception
413,Best Western,general,4. Fairly positive perception
414,Best Western,general,3. Neither positive nor negative perception
417,Best Western,general,3. Neither positive nor negative perception
420,Best Western,general,4. Fairly positive perception
421,Best Western,general,3. Neither positive nor negative perception
427,Best Western,general,4. Fairly positive perception
429,Best Western,general,4. Fairly positive perception
430,Best Western,general,3. Neither positive nor negative perception
431,Best Western,general,5. Very positive perception
436,Best Western,general,3. Neither positive nor negative perception
437,Best Western,general,4. Fairly positive perception
438,Best Western,general,4. Fairly positive perception
440,Best Western,general,3. Neither positive nor negative perception
442,Best Western,general,5. Very positive perception
446,Best Western,general,5. Very positive perception
448,Best Western,general,I Don´t know the company
451,Best Western,general,4. Fairly positive perception
453,Best Western,general,4. Fairly positive perception
455,Best Western,general,3. Neither positive nor negative perception
457,Best Western,general,3. Neither positive nor negative perception
461,Best Western,general,4. Fairly positive perception
462,Best Western,general,5. Very positive perception
466,Best Western,general,3. Neither positive nor negative perception
467,Best Western,general,3. Neither positive nor negative perception
468,Best Western,general,4. Fairly positive perception
470,Best Western,general,I Don´t know the company
471,Best Western,general,3. Neither positive nor negative perception
473,Best Western,general,3. Neither positive nor negative perception
475,Best Western,general,2. Somewhat negative perception
477,Best Western,general,3. Neither positive nor negative perception
479,Best Western,general,3. Neither positive nor negative perception
482,Best Western,general,3. Neither positive nor negative perception
483,Best Western,general,2. Somewhat negative perception
484,Best Western,general,3. Neither positive nor negative perception
489,Best Western,general,3. Neither positive nor negative perception
491,Best Western,general,4. Fairly positive perception
495,Best Western,general,4. Fairly positive perception
496,Best Western,general,3. Neither positive nor negative perception
497,Best Western,general,5. Very positive perception
499,Best Western,general,3. Neither positive nor negative perception
501,Best Western,general,4. Fairly positive perception
502,Best Western,general,4. Fairly positive perception
505,Best Western,general,3. Neither positive nor negative perception
506,Best Western,general,3. Neither positive nor negative perception
509,Best Western,general,4. Fairly positive perception
510,Best Western,general,2. Somewhat negative perception
511,Best Western,general,2. Somewhat negative perception
512,Best Western,general,4. Fairly positive perception
514,Best Western,general,3. Neither positive nor negative perception
515,Best Western,general,3. Neither positive nor negative perception
516,Best Western,general,5. Very positive perception
521,Best Western,general,2. Somewhat negative perception
522,Best Western,general,3. Neither positive nor negative perception
523,Best Western,general,4. Fairly positive perception
527,Best Western,general,3. Neither positive nor negative perception
530,Best Western,general,3. Neither positive nor negative perception
536,Best Western,general,3. Neither positive nor negative perception
537,Best Western,general,3. Neither positive nor negative perception
539,Best Western,general,3. Neither positive nor negative perception
540,Best Western,general,3. Neither positive nor negative perception
542,Best Western,general,4. Fairly positive perception
543,Best Western,general,4. Fairly positive perception
545,Best Western,general,1. Very negative perception
547,Best Western,general,4. Fairly positive perception
550,Best Western,general,2. Somewhat negative perception
551,Best Western,general,3. Neither positive nor negative perception
552,Best Western,general,4. Fairly positive perception
554,Best Western,general,I Don´t know the company
556,Best Western,general,3. Neither positive nor negative perception
558,Best Western,general,5. Very positive perception
560,Best Western,general,3. Neither positive nor negative perception
561,Best Western,general,4. Fairly positive perception
563,Best Western,general,5. Very positive perception
564,Best Western,general,3. Neither positive nor negative perception
565,Best Western,general,4. Fairly positive perception
567,Best Western,general,4. Fairly positive perception
570,Best Western,general,3. Neither positive nor negative perception
571,Best Western,general,I Don´t know the company
572,Best Western,general,I Don´t know the company
573,Best Western,general,4. Fairly positive perception
577,Best Western,general,4. Fairly positive perception
583,Best Western,general,I Don´t know the company
585,Best Western,general,4. Fairly positive perception
586,Best Western,general,3. Neither positive nor negative perception
588,Best Western,general,4. Fairly positive perception
591,Best Western,general,4. Fairly positive perception
593,Best Western,general,4. Fairly positive perception
594,Best Western,general,3. Neither positive nor negative perception
595,Best Western,general,3. Neither positive nor negative perception
600,Best Western,general,4. Fairly positive perception
601,Best Western,general,4. Fairly positive perception
606,Best Western,general,3. Neither positive nor negative perception
608,Best Western,general,I Don´t know the company
609,Best Western,general,4. Fairly positive perception
613,Best Western,general,5. Very positive perception
616,Best Western,general,5. Very positive perception
617,Best Western,general,2. Somewhat negative perception
618,Best Western,general,4. Fairly positive perception
620,Best Western,general,4. Fairly positive perception
622,Best Western,general,4. Fairly positive perception
624,Best Western,general,3. Neither positive nor negative perception
626,Best Western,general,3. Neither positive nor negative perception
632,Best Western,general,3. Neither positive nor negative perception
637,Best Western,general,4. Fairly positive perception
638,Best Western,general,3. Neither positive nor negative perception
639,Best Western,general,I Don´t know the company
643,Best Western,general,4. Fairly positive perception
646,Best Western,general,4. Fairly positive perception
648,Best Western,general,2. Somewhat negative perception
1,Clarion Collection,general,3. Neither positive nor negative perception
3,Clarion Collection,general,5. Very positive perception
5,Clarion Collection,general,5. Very positive perception
7,Clarion Collection,general,5. Very positive perception
8,Clarion Collection,general,5. Very positive perception
13,Clarion Collection,general,5. Very positive perception
14,Clarion Collection,general,4. Fairly positive perception
16,Clarion Collection,general,2. Somewhat negative perception
18,Clarion Collection,general,4. Fairly positive perception
20,Clarion Collection,general,5. Very positive perception
24,Clarion Collection,general,4. Fairly positive perception
25,Clarion Collection,general,5. Very positive perception
26,Clarion Collection,general,4. Fairly positive perception
27,Clarion Collection,general,I Don´t know the company
29,Clarion Collection,general,5. Very positive perception
34,Clarion Collection,general,4. Fairly positive perception
37,Clarion Collection,general,3. Neither positive nor negative perception
40,Clarion Collection,general,I Don´t know the company
42,Clarion Collection,general,4. Fairly positive perception
46,Clarion Collection,general,5. Very positive perception
51,Clarion Collection,general,5. Very positive perception
54,Clarion Collection,general,5. Very positive perception
58,Clarion Collection,general,4. Fairly positive perception
60,Clarion Collection,general,I Don´t know the company
63,Clarion Collection,general,5. Very positive perception
68,Clarion Collection,general,3. Neither positive nor negative perception
72,Clarion Collection,general,5. Very positive perception
74,Clarion Collection,general,I Don´t know the company
77,Clarion Collection,general,4. Fairly positive perception
79,Clarion Collection,general,4. Fairly positive perception
80,Clarion Collection,general,3. Neither positive nor negative perception
82,Clarion Collection,general,5. Very positive perception
85,Clarion Collection,general,5. Very positive perception
86,Clarion Collection,general,3. Neither positive nor negative perception
88,Clarion Collection,general,4. Fairly positive perception
92,Clarion Collection,general,5. Very positive perception
96,Clarion Collection,general,5. Very positive perception
97,Clarion Collection,general,5. Very positive perception
101,Clarion Collection,general,5. Very positive perception
104,Clarion Collection,general,5. Very positive perception
106,Clarion Collection,general,5. Very positive perception
107,Clarion Collection,general,5. Very positive perception
108,Clarion Collection,general,4. Fairly positive perception
111,Clarion Collection,general,I Don´t know the company
115,Clarion Collection,general,5. Very positive perception
116,Clarion Collection,general,5. Very positive perception
119,Clarion Collection,general,4. Fairly positive perception
120,Clarion Collection,general,5. Very positive perception
121,Clarion Collection,general,5. Very positive perception
123,Clarion Collection,general,4. Fairly positive perception
127,Clarion Collection,general,4. Fairly positive perception
128,Clarion Collection,general,3. Neither positive nor negative perception
130,Clarion Collection,general,5. Very positive perception
132,Clarion Collection,general,4. Fairly positive perception
133,Clarion Collection,general,5. Very positive perception
135,Clarion Collection,general,4. Fairly positive perception
137,Clarion Collection,general,3. Neither positive nor negative perception
142,Clarion Collection,general,4. Fairly positive perception
143,Clarion Collection,general,4. Fairly positive perception
144,Clarion Collection,general,5. Very positive perception
146,Clarion Collection,general,4. Fairly positive perception
147,Clarion Collection,general,5. Very positive perception
148,Clarion Collection,general,5. Very positive perception
150,Clarion Collection,general,4. Fairly positive perception
152,Clarion Collection,general,2. Somewhat negative perception
159,Clarion Collection,general,4. Fairly positive perception
160,Clarion Collection,general,4. Fairly positive perception
161,Clarion Collection,general,4. Fairly positive perception
162,Clarion Collection,general,5. Very positive perception
164,Clarion Collection,general,5. Very positive perception
165,Clarion Collection,general,4. Fairly positive perception
167,Clarion Collection,general,3. Neither positive nor negative perception
