respondent_id,item,question
2,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
2,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
2,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
9,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
9,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
9,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
9,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
9,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
9,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
50,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
50,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
59,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
59,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
59,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
59,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
59,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
59,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
62,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
62,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
65,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
65,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
65,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
65,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
71,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
71,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
71,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
76,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
76,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
76,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
76,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
76,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
76,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
102,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
102,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
105,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
105,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
105,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
139,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
229,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
229,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
235,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
244,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
244,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
244,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
259,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
263,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
263,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
263,Celebrities and influencers talking about these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
263,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
267,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
269,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
269,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
276,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
276,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
276,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
278,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
291,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
291,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
291,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
291,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
294,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
294,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
294,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
294,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
294,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
301,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
301,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
301,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
301,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
317,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
318,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
321,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
321,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
324,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
325,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
325,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
325,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
326,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
326,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
326,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
