respondent_id,concept,familiarity
2,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
9,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
50,The Sustainable Development Goals,1. I have never heard of the term at all
59,The Sustainable Development Goals,1. I have never heard of the term at all
62,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
65,The Sustainable Development Goals,2. I have heard of the concept but no more
71,The Sustainable Development Goals,1. I have never heard of the term at all
76,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
102,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
105,The Sustainable Development Goals,4. I know the meaning of the concept quite well
139,The Sustainable Development Goals,1. I have never heard of the term at all
229,The Sustainable Development Goals,1. I have never heard of the term at all
235,The Sustainable Development Goals,1. I have never heard of the term at all
244,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
259,The Sustainable Development Goals,4. I know the meaning of the concept quite well
263,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
267,The Sustainable Development Goals,4. I know the meaning of the concept quite well
269,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
276,The Sustainable Development Goals,2. I have heard of the concept but no more
291,The Sustainable Development Goals,1. I have never heard of the term at all
294,The Sustainable Development Goals,1. I have never heard of the term at all
301,The Sustainable Development Goals,5. I have very good knowledge of the concept
317,The Sustainable Development Goals,1. I have never heard of the term at all
318,The Sustainable Development Goals,1. I have never heard of the term at all
321,The Sustainable Development Goals,2. I have heard of the concept but no more
324,The Sustainable Development Goals,1. I have never heard of the term at all
325,The Sustainable Development Goals,1. I have never heard of the term at all
326,The Sustainable Development Goals,4. I know the meaning of the concept quite well
328,The Sustainable Development Goals,1. I have never heard of the term at all
331,The Sustainable Development Goals,2. I have heard of the concept but no more
332,The Sustainable Development Goals,2. I have heard of the concept but no more
333,The Sustainable Development Goals,1. I have never heard of the term at all
335,The Sustainable Development Goals,1. I have never heard of the term at all
344,The Sustainable Development Goals,4. I know the meaning of the concept quite well
345,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
349,The Sustainable Development Goals,5. I have very good knowledge of the concept
351,The Sustainable Development Goals,1. I have never heard of the term at all
361,The Sustainable Development Goals,2. I have heard of the concept but no more
370,The Sustainable Development Goals,1. I have never heard of the term at all
374,The Sustainable Development Goals,2. I have heard of the concept but no more
385,The Sustainable Development Goals,2. I have heard of the concept but no more
386,The Sustainable Development Goals,1. I have never heard of the term at all
389,The Sustainable Development Goals,2. I have heard of the concept but no more
394,The Sustainable Development Goals,5. I have very good knowledge of the concept
398,The Sustainable Development Goals,4. I know the meaning of the concept quite well
410,The Sustainable Development Goals,1. I have never heard of the term at all
411,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
415,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
419,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
423,The Sustainable Development Goals,1. I have never heard of the term at all
424,The Sustainable Development Goals,2. I have heard of the concept but no more
433,The Sustainable Development Goals,4. I know the meaning of the concept quite well
434,The Sustainable Development Goals,2. I have heard of the concept but no more
439,The Sustainable Development Goals,2. I have heard of the concept but no more
443,The Sustainable Development Goals,2. I have heard of the concept but no more
449,The Sustainable Development Goals,1. I have never heard of the term at all
452,The Sustainable Development Goals,1. I have never heard of the term at all
456,The Sustainable Development Goals,1. I have never heard of the term at all
458,The Sustainable Development Goals,1. I have never heard of the term at all
460,The Sustainable Development Goals,1. I have never heard of the term at all
463,The Sustainable Development Goals,2. I have heard of the concept but no more
476,The Sustainable Development Goals,1. I have never heard of the term at all
480,The Sustainable Development Goals,1. I have never heard of the term at all
487,The Sustainable Development Goals,1. I have never heard of the term at all
488,The Sustainable Development Goals,2. I have heard of the concept but no more
492,The Sustainable Development Goals,1. I have never heard of the term at all
494,The Sustainable Development Goals,1. I have never heard of the term at all
500,The Sustainable Development Goals,4. I know the meaning of the concept quite well
504,The Sustainable Development Goals,1. I have never heard of the term at all
507,The Sustainable Development Goals,1. I have never heard of the term at all
513,The Sustainable Development Goals,1. I have never heard of the term at all
517,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
518,The Sustainable Development Goals,1. I have never heard of the term at all
526,The Sustainable Development Goals,2. I have heard of the concept but no more
531,The Sustainable Development Goals,1. I have never heard of the term at all
532,The Sustainable Development Goals,4. I know the meaning of the concept quite well
535,The Sustainable Development Goals,1. I have never heard of the term at all
541,The Sustainable Development Goals,1. I have never heard of the term at all
553,The Sustainable Development Goals,1. I have never heard of the term at all
555,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
557,The Sustainable Development Goals,1. I have never heard of the term at all
559,The Sustainable Development Goals,2. I have heard of the concept but no more
574,The Sustainable Development Goals,1. I have never heard of the term at all
578,The Sustainable Development Goals,1. I have never heard of the term at all
579,The Sustainable Development Goals,4. I know the meaning of the concept quite well
581,The Sustainable Development Goals,1. I have never heard of the term at all
584,The Sustainable Development Goals,2. I have heard of the concept but no more
590,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
596,The Sustainable Development Goals,1. I have never heard of the term at all
597,The Sustainable Development Goals,1. I have never heard of the term at all
605,The Sustainable Development Goals,1. I have never heard of the term at all
607,The Sustainable Development Goals,1. I have never heard of the term at all
610,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
612,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
619,The Sustainable Development Goals,1. I have never heard of the term at all
621,The Sustainable Development Goals,1. I have never heard of the term at all
623,The Sustainable Development Goals,1. I have never heard of the term at all
625,The Sustainable Development Goals,1. I have never heard of the term at all
627,The Sustainable Development Goals,5. I have very good knowledge of the concept
629,The Sustainable Development Goals,4. I know the meaning of the concept quite well
