respondent_id,question,response
1,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
1,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
1,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
2,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
2,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
2,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
2,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
2,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
3,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
3,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
4,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
7,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
13,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
14,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
14,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
14,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
16,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
16,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
18,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
18,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
18,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
22,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
22,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
22,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
25,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
25,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
26,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
26,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
26,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
27,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
28,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
28,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
28,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
30,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
30,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
30,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
30,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
34,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
34,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
34,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
34,Please tick the companies where you feel you are a customer/user of their services today.,GoodMorning Hotels
34,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
38,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
38,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
38,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
39,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
40,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
43,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
43,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
43,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
43,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
44,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
44,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
46,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
46,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
46,Please tick the companies where you feel you are a customer/user of their services today.,First Hotels
46,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
48,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
48,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
48,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
50,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
51,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
51,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
52,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
52,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
54,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
54,Please tick the companies where you feel you are a customer/user of their services today.,Norlandia
54,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
55,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
55,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
57,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
57,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
58,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
59,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
59,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
60,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
62,Please tick the companies where you feel you are a customer/user of their services today.,ProfilHotels
62,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
64,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
64,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
64,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
65,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
68,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
68,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
68,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
71,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
71,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
73,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
74,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
76,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
76,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
76,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
76,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
76,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
76,Please tick the companies where you feel you are a customer/user of their services today.,Thon Hotels
77,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
77,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
77,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
78,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
78,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
80,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
80,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
81,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
81,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
81,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
83,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
83,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
83,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
84,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
85,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
88,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
89,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
89,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
89,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
91,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
91,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
92,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
92,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
93,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
93,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
96,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
96,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
96,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
101,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
102,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
102,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
105,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
105,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
106,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
111,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
114,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
