respondent_id,topic
1,Energy issues / energy efficiency
1,Wars and conflicts in the world
1,Gender equality & feminism
1,Polarisation of opinions in society
1,Democracy
2,Climate change
2,Air & water pollution
2,Circular economy - recycling & reuse of materials
2,Sustainable transport
2,Energy issues / energy efficiency
2,Sustainable finance
2,Sustainable agriculture & food production
2,Wars and conflicts in the world
2,Labour conditions for suppliers / in the value chain abroad
2,Ethical issues (e.g. corruption)
2,Diversity
2,anti-racism & inclusive societies
2,Gender equality & feminism
2,Human rights
2,poverty and hunger in the world
2,Polarisation of opinions in society
2,The country's economy
2,Democracy
2,Safe societies
3,Biodiversity - animals
3,plants & ecosystems
3,Circular economy - recycling & reuse of materials
3,The country's economy
3,Democracy
3,Safe societies
4,Climate change
4,Biodiversity - animals
4,plants & ecosystems
4,Air & water pollution
4,Wars and conflicts in the world
4,Democracy
5,Climate change
5,Biodiversity - animals
5,plants & ecosystems
5,Circular economy - recycling & reuse of materials
5,Sustainable transport
5,Energy issues / energy efficiency
5,Wars and conflicts in the world
5,Charitable giving
5,Diversity
5,anti-racism & inclusive societies
5,Gender equality & feminism
5,Human rights
5,poverty and hunger in the world
5,Public health & well-being - people's physical and mental health / ill-health
5,Democracy
6,Labour conditions and opportunities in Sweden
6,Circular economy - recycling & reuse of materials
6,Sustainable transport
6,Energy issues / energy efficiency
6,Sustainable agriculture & food production
6,Wars and conflicts in the world
6,Labour conditions for suppliers / in the value chain abroad
7,Climate change
7,Sustainable transport
7,Energy issues / energy efficiency
7,Sustainable finance
7,Labour conditions for suppliers / in the value chain abroad
8,The country's economy
8,Democracy
9,Climate change
9,Biodiversity - animals
9,plants & ecosystems
9,Labour conditions and opportunities in Sweden
9,Energy issues / energy efficiency
9,Sustainable agriculture & food production
9,Wars and conflicts in the world
9,Animal health & welfare
9,Ethical issues (e.g. corruption)
9,Diversity
9,anti-racism & inclusive societies
9,Gender equality & feminism
9,Human rights
9,poverty and hunger in the world
9,Polarisation of opinions in society
9,Democracy
10,Energy issues / energy efficiency
10,Sustainable agriculture & food production
10,Wars and conflicts in the world
10,Democracy
10,Safe societies
11,Labour conditions and opportunities in Sweden
11,Sustainable agriculture & food production
11,Wars and conflicts in the world
11,Animal health & welfare
11,Gender equality & feminism
11,The country's economy
12,Climate change
12,Circular economy - recycling & reuse of materials
12,Energy issues / energy efficiency
12,Wars and conflicts in the world
12,Animal health & welfare
12,Ethical issues (e.g. corruption)
12,Diversity
12,anti-racism & inclusive societies
12,Gender equality & feminism
12,Public health & well-being - people's physical and mental health / ill-health
12,The country's economy
12,Democracy
12,Safe societies
13,Climate change
13,Labour conditions and opportunities in Sweden
13,Circular economy - recycling & reuse of materials
13,Energy issues / energy efficiency
13,Ethical issues (e.g. corruption)
13,Public health & well-being - people's physical and mental health / ill-health
13,Democracy
14,Climate change
14,Sustainable transport
14,Energy issues / energy efficiency
14,Wars and conflicts in the world
14,Diversity
14,anti-racism & inclusive societies
14,Gender equality & feminism
14,Human rights
14,poverty and hunger in the world
14,Public health & well-being - people's physical and mental health / ill-health
14,The country's economy
14,Democracy
14,Safe societies
15,Labour conditions and opportunities in Sweden
15,Sustainable transport
15,Energy issues / energy efficiency
15,The country's economy
15,Democracy
16,Climate change
16,Biodiversity - animals
16,plants & ecosystems
16,Air & water pollution
16,Sustainable transport
16,Energy issues / energy efficiency
16,Sustainable agriculture & food production
17,Climate change
17,Labour conditions and opportunities in Sweden
17,Wars and conflicts in the world
17,Ethical issues (e.g. corruption)
17,Gender equality & feminism
17,Polarisation of opinions in society
17,The country's economy
17,Democracy
18,Energy issues / energy efficiency
18,Wars and conflicts in the world
19,Climate change
19,Biodiversity - animals
19,plants & ecosystems
19,Labour conditions and opportunities in Sweden
19,Circular economy - recycling & reuse of materials
19,Energy issues / energy efficiency
19,Labour conditions for suppliers / in the value chain abroad
19,Ethical issues (e.g. corruption)
19,Diversity
19,anti-racism & inclusive societies
19,Polarisation of opinions in society
20,Climate change
20,Biodiversity - animals
20,plants & ecosystems
20,Air & water pollution
20,Circular economy - recycling & reuse of materials
20,Sustainable transport
20,Energy issues / energy efficiency
20,Sustainable finance
20,Wars and conflicts in the world
20,Ethical issues (e.g. corruption)
20,Diversity
20,anti-racism & inclusive societies
20,Public health & well-being - people's physical and mental health / ill-health
20,The country's economy
20,Democracy
21,Climate change
21,Energy issues / energy efficiency
21,Sustainable agriculture & food production
21,Wars and conflicts in the world
21,Diversity
21,anti-racism & inclusive societies
21,Democracy
22,Climate change
22,Biodiversity - animals
22,plants & ecosystems
22,Air & water pollution
22,Circular economy - recycling & reuse of materials
22,Sustainable transport
22,Energy issues / energy efficiency
22,Sustainable agriculture & food production
22,Wars and conflicts in the world
22,Charitable giving
22,Diversity
22,anti-racism & inclusive societies
22,Gender equality & feminism
22,Human rights
22,poverty and hunger in the world
22,Public health & well-being - people's physical and mental health / ill-health
22,The country's economy
22,Democracy
22,Safe societies
23,Climate change
23,Biodiversity - animals
23,plants & ecosystems
23,Circular economy - recycling & reuse of materials
23,Energy issues / energy efficiency
23,Sustainable finance
23,Animal health & welfare
23,The country's economy
23,Democracy
23,Safe societies
24,Climate change
24,Air & water pollution
24,Labour conditions and opportunities in Sweden
24,Circular economy - recycling & reuse of materials
24,Sustainable transport
24,Energy issues / energy efficiency
24,Sustainable finance
24,Animal health & welfare
24,Labour conditions for suppliers / in the value chain abroad
24,Gender equality & feminism
24,Human rights
24,poverty and hunger in the world
24,Polarisation of opinions in society
24,The country's economy
24,Democracy
25,Climate change
25,Biodiversity - animals
25,plants & ecosystems
25,Labour conditions and opportunities in Sweden
25,Energy issues / energy efficiency
25,Wars and conflicts in the world
25,Animal health & welfare
25,Ethical issues (e.g. corruption)
25,Diversity
25,anti-racism & inclusive societies
25,Human rights
25,poverty and hunger in the world
25,Polarisation of opinions in society
25,Public health & well-being - people's physical and mental health / ill-health
25,The country's economy
25,Democracy
26,Animal health & welfare
27,Climate change
27,Labour conditions and opportunities in Sweden
27,Sustainable finance
27,Wars and conflicts in the world
27,Diversity
27,anti-racism & inclusive societies
27,Gender equality & feminism
27,Human rights
27,poverty and hunger in the world
27,Polarisation of opinions in society
27,Public health & well-being - people's physical and mental health / ill-health
27,The country's economy
27,Democracy
27,Safe societies
28,Climate change
28,Wars and conflicts in the world
28,Diversity
28,anti-racism & inclusive societies
28,Public health & well-being - people's physical and mental health / ill-health
28,The country's economy
28,Democracy
28,Safe societies
29,Wars and conflicts in the world
30,Climate change
30,Biodiversity - animals
30,plants & ecosystems
30,Air & water pollution
30,Circular economy - recycling & reuse of materials
30,Sustainable transport
30,Energy issues / energy efficiency
30,Sustainable agriculture & food production
30,Wars and conflicts in the world
30,Animal health & welfare
30,Labour conditions for suppliers / in the value chain abroad
30,Ethical issues (e.g. corruption)
30,Charitable giving
30,Human rights
30,poverty and hunger in the world
30,Public health & well-being - people's physical and mental health / ill-health
30,Democracy
31,Climate change
31,Air & water pollution
31,Labour conditions and opportunities in Sweden
31,Energy issues / energy efficiency
31,Sustainable finance
31,Wars and conflicts in the world
31,Animal health & welfare
31,Ethical issues (e.g. corruption)
31,Charitable giving
31,Diversity
31,anti-racism & inclusive societies
31,Human rights
31,poverty and hunger in the world
31,The country's economy
31,Democracy
31,Safe societies
32,Climate change
32,Biodiversity - animals
32,plants & ecosystems
32,Labour conditions and opportunities in Sweden
32,Sustainable transport
32,Sustainable agriculture & food production
32,Wars and conflicts in the world
32,Labour conditions for suppliers / in the value chain abroad
32,Ethical issues (e.g. corruption)
32,Gender equality & feminism
32,Human rights
32,poverty and hunger in the world
32,The country's economy
32,Democracy
33,Climate change
33,Circular economy - recycling & reuse of materials
33,Sustainable transport
33,Energy issues / energy efficiency
33,Sustainable agriculture & food production
33,Wars and conflicts in the world
33,Ethical issues (e.g. corruption)
34,Climate change
34,Biodiversity - animals
34,plants & ecosystems
34,Air & water pollution
34,Circular economy - recycling & reuse of materials
34,Sustainable transport
34,Energy issues / energy efficiency
34,Sustainable finance
34,Wars and conflicts in the world
34,Labour conditions for suppliers / in the value chain abroad
34,Ethical issues (e.g. corruption)
34,Human rights
34,poverty and hunger in the world
34,Public health & well-being - people's physical and mental health / ill-health
34,The country's economy
34,Democracy
35,Climate change
35,Biodiversity - animals
35,plants & ecosystems
35,Air & water pollution
35,Labour conditions and opportunities in Sweden
35,Circular economy - recycling & reuse of materials
35,Sustainable transport
35,Energy issues / energy efficiency
35,Sustainable finance
35,Sustainable agriculture & food production
35,Wars and conflicts in the world
35,Animal health & welfare
35,Labour conditions for suppliers / in the value chain abroad
35,Ethical issues (e.g. corruption)
35,Charitable giving
35,Diversity
35,anti-racism & inclusive societies
35,Gender equality & feminism
35,Human rights
35,poverty and hunger in the world
35,Polarisation of opinions in society
35,Public health & well-being - people's physical and mental health / ill-health
35,The country's economy
35,Democracy
35,Safe societies
36,Climate change
36,Energy issues / energy efficiency
36,Sustainable finance
36,The country's economy
37,Climate change
37,Biodiversity - animals
37,plants & ecosystems
37,Air & water pollution
37,Labour conditions and opportunities in Sweden
37,Circular economy - recycling & reuse of materials
37,Sustainable transport
37,Energy issues / energy efficiency
37,Sustainable finance
37,Wars and conflicts in the world
37,Labour conditions for suppliers / in the value chain abroad
37,Ethical issues (e.g. corruption)
37,Diversity
37,anti-racism & inclusive societies
37,Gender equality & feminism
37,Human rights
37,poverty and hunger in the world
37,Polarisation of opinions in society
37,Public health & well-being - people's physical and mental health / ill-health
37,Democracy
38,Air & water pollution
38,Labour conditions and opportunities in Sweden
38,Circular economy - recycling & reuse of materials
38,Sustainable transport
38,Energy issues / energy efficiency
38,Sustainable finance
38,Sustainable agriculture & food production
39,Climate change
39,Biodiversity - animals
39,plants & ecosystems
39,Sustainable finance
39,Sustainable agriculture & food production
39,Human rights
39,poverty and hunger in the world
39,Democracy
40,Wars and conflicts in the world
40,Animal health & welfare
40,Ethical issues (e.g. corruption)
40,Diversity
40,anti-racism & inclusive societies
40,Human rights
40,poverty and hunger in the world
40,Public health & well-being - people's physical and mental health / ill-health
41,Wars and conflicts in the world
41,Public health & well-being - people's physical and mental health / ill-health
41,The country's economy
41,Democracy
41,Safe societies
42,Climate change
42,Sustainable transport
