respondent_id,response_type,item
1,must_have,Reducing the amount of laundry and/or room cleaning
3,must_have,Reducing the amount of laundry and/or room cleaning
7,must_have,Engaging with the local community about sustainability matters
7,must_have,Practices gender equality towards guests and employees
46,must_have,Reducing the climate impact of the hotel in general
51,must_have,Wide range of organic food & drink
51,must_have,Locally produced food & drink
51,must_have,Animal welfare within food & beverage
51,must_have,Working conditions and employee health
74,must_have,Wide range of organic food & drink
74,must_have,Locally produced food & drink
74,must_have,Reducing energy use in hotels
74,must_have,Avoid single-use plastic and minimizing use of plastic packaging
115,must_have,Reducing the amount of laundry and/or room cleaning
115,must_have,Reducing water use in operations
115,must_have,Working conditions and employee health
120,must_have,Wide range of organic food & drink
120,must_have,Reducing energy use in hotels
120,must_have,Working conditions and employee health
120,must_have,Accessibility for people with disabilities
120,must_have,Diversity and inclusion towards guests and employees
120,must_have,Practices gender equality towards guests and employees
120,must_have,Reducing the climate impact of the hotel in general
120,must_have,Avoid single-use plastic and minimizing use of plastic packaging
128,must_have,Wide range of vegetarian food
128,must_have,Reducing food waste
128,must_have,Reducing energy use in hotels
128,must_have,Reducing the amount of laundry and/or room cleaning
128,must_have,Reducing the climate impact of the hotel in general
128,must_have,Avoid single-use plastic and minimizing use of plastic packaging
159,must_have,Working conditions and employee health
170,must_have,Reducing food waste
170,must_have,Reducing the amount of laundry and/or room cleaning
170,must_have,Reducing the climate impact of the hotel in general
173,must_have,Reducing food waste
173,must_have,Reducing energy use in hotels
173,must_have,Reducing the amount of laundry and/or room cleaning
173,must_have,Working conditions and employee health
173,must_have,Practices gender equality towards guests and employees
182,must_have,Reducing the amount of laundry and/or room cleaning
182,must_have,Diversity and inclusion towards guests and employees
182,must_have,Making climate-smart travel easy through offerings and information
182,must_have,Avoid single-use plastic and minimizing use of plastic packaging
188,must_have,Working conditions and employee health
188,must_have,Practices gender equality towards guests and employees
193,must_have,Locally produced food & drink
193,must_have,Accessibility for people with disabilities
208,must_have,Wide range of organic food & drink
208,must_have,Wide range of vegetarian food
208,must_have,Reducing food waste
208,must_have,Reducing energy use in hotels
208,must_have,Reducing the amount of laundry and/or room cleaning
208,must_have,Reducing water use in operations
208,must_have,Working conditions and employee health
208,must_have,Accessibility for people with disabilities
208,must_have,Diversity and inclusion towards guests and employees
208,must_have,Practices gender equality towards guests and employees
208,must_have,Avoid single-use plastic and minimizing use of plastic packaging
211,must_have,Charging stations for electric cars
227,must_have,Reducing energy use in hotels
227,must_have,Working conditions and employee health
227,must_have,Diversity and inclusion towards guests and employees
227,must_have,Reducing the climate impact of the hotel in general
231,must_have,None of the above
236,must_have,Reducing energy use in hotels
236,must_have,Reducing the amount of laundry and/or room cleaning
236,must_have,Working conditions in the supply chain
236,must_have,Diversity and inclusion towards guests and employees
236,must_have,Practices gender equality towards guests and employees
236,must_have,Avoid single-use plastic and minimizing use of plastic packaging
238,must_have,None of the above
240,must_have,Reducing food waste
240,must_have,Accessibility for people with disabilities
240,must_have,Avoid single-use plastic and minimizing use of plastic packaging
241,must_have,Wide range of organic food & drink
241,must_have,Locally produced food & drink
241,must_have,Accessibility for people with disabilities
241,must_have,Reducing the climate impact of the hotel in general
247,must_have,Working conditions and employee health
247,must_have,Accessibility for people with disabilities
247,must_have,Diversity and inclusion towards guests and employees
247,must_have,Reducing the climate impact of the hotel in general
247,must_have,Avoid single-use plastic and minimizing use of plastic packaging
247,must_have,Charging stations for electric cars
251,must_have,Reducing food waste
251,must_have,Reducing the amount of laundry and/or room cleaning
251,must_have,Reducing water use in operations
251,must_have,Working conditions and employee health
251,must_have,Diversity and inclusion towards guests and employees
251,must_have,Practices gender equality towards guests and employees
251,must_have,Reducing the climate impact of the hotel in general
251,must_have,Avoid single-use plastic and minimizing use of plastic packaging
251,must_have,Eco-labelled hotels (e.g. Nordic Ecolabelling)
255,must_have,Working conditions and employee health
255,must_have,Working conditions in the supply chain
255,must_have,Practices gender equality towards guests and employees
256,must_have,None of the above
258,must_have,Wide range of organic food & drink
258,must_have,Engaging with the local community about sustainability matters
258,must_have,Diversity and inclusion towards guests and employees
264,must_have,Working conditions and employee health
264,must_have,Accessibility for people with disabilities
264,must_have,Practices gender equality towards guests and employees
264,must_have,Reducing the climate impact of the hotel in general
266,must_have,Wide range of organic food & drink
266,must_have,Wide range of vegetarian food
266,must_have,Animal welfare within food & beverage
266,must_have,Reducing energy use in hotels
266,must_have,Working conditions and employee health
266,must_have,Reducing the climate impact of the hotel in general
268,must_have,Locally produced food & drink
268,must_have,Working conditions and employee health
268,must_have,Reducing the climate impact of the hotel in general
268,must_have,Avoid single-use plastic and minimizing use of plastic packaging
270,must_have,Wide range of organic food & drink
270,must_have,Wide range of vegetarian food
271,must_have,Wide range of organic food & drink
271,must_have,Locally produced food & drink
271,must_have,Working conditions and employee health
271,must_have,Working conditions in the supply chain
271,must_have,Reducing the climate impact of the hotel in general
271,must_have,Avoid single-use plastic and minimizing use of plastic packaging
271,must_have,Charging stations for electric cars
279,must_have,Eco-labelled hotels (e.g. Nordic Ecolabelling)
281,must_have,Wide range of organic food & drink
281,must_have,Reducing food waste
281,must_have,Reducing energy use in hotels
281,must_have,Reducing the amount of laundry and/or room cleaning
281,must_have,Reducing water use in operations
281,must_have,Working conditions and employee health
281,must_have,Diversity and inclusion towards guests and employees
281,must_have,Practices gender equality towards guests and employees
281,must_have,Reducing the climate impact of the hotel in general
281,must_have,Avoid single-use plastic and minimizing use of plastic packaging
282,must_have,Locally produced food & drink
282,must_have,Working conditions and employee health
282,must_have,Avoid single-use plastic and minimizing use of plastic packaging
283,must_have,Reducing the climate impact of the hotel in general
283,must_have,Eco-labelled hotels (e.g. Nordic Ecolabelling)
286,must_have,Wide range of organic food & drink
