respondent_id,interest
1,Books/literature
1,Films
1,Outdoor recreation
1,Gaming (e-sports
1,computer games
1,online games etc)
1,Hunting or fishing
1,Music and theatre
1,Natural sciences
1,Series on TV or online
1,Foreign news & foreign policy
2,Books/literature
2,Economy & business
2,Fitness & training
2,Outdoor recreation
2,Health & wellness
2,Natural sciences
2,Politics
2,Travelling abroad
2,Series on TV or online
3,Books/literature
3,Economy & business
3,Arts & Crafts
3,Cookery
3,Politics
3,Theatre
3,dance & other performing arts
9,Books/literature
9,Films
9,Construction & carpentry
9,Sustainability & environment
9,Arts & Crafts
9,Natural sciences
9,New technologies & digitalisation
46,Economy & business
46,Films
46,Fitness & training
46,Sustainability & environment
46,Health & wellness
46,Local news
46,Music and theatre
46,Travelling abroad
46,Series on TV or online
46,Shopping
46,Sports news
46,Theatre
46,dance & other performing arts
46,Practising a sport
50,Books/literature
50,Economy & business
50,Fitness & training
50,Outdoor recreation
50,Travelling abroad
50,Foreign news & foreign policy
51,Films
51,Outdoor recreation
51,Construction & carpentry
51,Sustainability & environment
51,Health & wellness
51,Interior design
51,Hunting or fishing
51,Arts & Crafts
51,Cookery
51,Music and theatre
51,Travelling abroad
51,Theatre
51,dance & other performing arts
51,Practising a sport
51,Plants
51,growing & gardening
59,Fitness & training
59,Sustainability & environment
59,Health & wellness
59,Local news
59,Fashion and clothing
59,Music and theatre
59,New technologies & digitalisation
59,Travelling abroad
59,Theatre
59,dance & other performing arts
59,Foreign news & foreign policy
62,Fitness & training
62,Health & wellness
62,Entertainment & celebrities
62,Travelling abroad
65,Economy & business
65,Fitness & training
65,Construction & carpentry
65,Health & wellness
65,Local news
65,Cookery
65,Music and theatre
65,Natural sciences
65,New technologies & digitalisation
65,Travelling abroad
65,Sports news
65,Practising a sport
71,Books/literature
71,Economy & business
71,Films
71,New technologies & digitalisation
71,Politics
71,Series on TV or online
74,Books/literature
74,Films
74,Outdoor recreation
74,Music and theatre
74,Plants
74,growing & gardening
76,Fitness & training
76,Construction & carpentry
76,Interior design
76,Natural sciences
76,Travelling abroad
76,Sports news
76,Foreign news & foreign policy
76,Plants
76,growing & gardening
81,Economy & business
81,Fitness & training
81,Health & wellness
81,New technologies & digitalisation
81,Travelling abroad
81,Series on TV or online
81,Practising a sport
102,Films
102,Fitness & training
102,Outdoor recreation
102,Sustainability & environment
102,Health & wellness
102,Interior design
102,Local news
102,Sports news
102,Foreign news & foreign policy
102,Practising a sport
102,Plants
102,growing & gardening
105,Books/literature
105,Films
105,Interior design
105,Cookery
105,Fashion and clothing
105,Travelling abroad
105,Series on TV or online
105,Sports news
105,Practising a sport
115,Cars and lorries
115,Films
115,Outdoor recreation
115,Hunting or fishing
115,Local news
115,Cookery
115,Politics
