respondent_id,country,gender,age,sustainability_impact_on_purchase,frequency_discussion_sustainability,country_live_in,residence_type,children_in_household,education_level,occupation
1,Sweden,Male,52.0,2,Rarely,Sweden,Small town,No children under 18 years,Secondary education or equivalent,State employee
2,Sweden,Female,48.0,2,Often,Sweden,Medium-sized city,13-18 years,College or university education,Privately employed civil servant
3,Sweden,Male,52.0,Don´t know,Rarely,Sweden,Large city or large city with suburb,13-18 years,College or university education,State employee
4,Sweden,Male,65.0,4,Often,,,,,
5,Sweden,Female,73.0,4,Occasionally,,,,,
6,Sweden,Male,50.0,4,Occasionally,,,,,
7,Sweden,Male,46.0,3,Occasionally,,Medium-sized city,"8-12 years,13-18 years",College or university education,Privately employed civil servant
8,Sweden,Male,48.0,4,Rarely,,,,,
9,Sweden,Male,59.0,5,Often,Sweden,Large city or large city with suburb,No children under 18 years,Secondary education or equivalent,Privately employed civil servant
10,Sweden,Male,47.0,3,Rarely,,,,,
11,Sweden,Male,63.0,3,Occasionally,,,,,
12,Sweden,Male,54.0,,Occasionally,,,,,
13,Sweden,Female,70.0,4,Often,,,,,
14,Sweden,Male,76.0,4,Occasionally,,,,,
15,Sweden,Male,53.0,4,Often,,,,,
16,Sweden,Female,48.0,5,Often,,,,,
17,Sweden,Male,34.0,1,Rarely,,,,,
18,Sweden,Male,62.0,3,Rarely,,,,,
19,Sweden,Male,49.0,3,Occasionally,,,,,
20,Sweden,Male,49.0,4,Often,,,,,
21,Sweden,Male,56.0,3,Occasionally,,,,,
22,Sweden,Male,36.0,4,Occasionally,,,,,
23,Sweden,Female,74.0,3,Occasionally,,,,,
24,Sweden,Female,46.0,4,Occasionally,,,,,
25,Sweden,Male,67.0,5,Occasionally,,,,,
26,Sweden,Male,,3,Rarely,,,,,
27,Sweden,Female,24.0,3,Occasionally,,,,,
28,Sweden,Male,53.0,3,Rarely,,,,,
29,Sweden,Female,72.0,Don´t know,Occasionally,,,,,
30,Sweden,Male,67.0,5,Often,,,,,
31,Sweden,Male,68.0,3,Occasionally,,,,,
32,Sweden,Male,62.0,2,Occasionally,,,,,
33,Sweden,Male,63.0,3,Often,,,,,
34,Sweden,Male,64.0,4,Often,,,,,
35,Sweden,Male,70.0,5,Often,,,,,
36,Sweden,Male,64.0,,Occasionally,,,,,
37,Sweden,Male,46.0,5,Often,,,,,
38,Sweden,Male,71.0,5,Occasionally,,,,,
39,Sweden,Male,59.0,5,Often,,,,,
40,Sweden,Male,28.0,5,Occasionally,,,,,
41,Sweden,Female,52.0,3,Rarely,,,,,
42,Sweden,Male,33.0,3,Occasionally,,,,,
43,Sweden,Male,68.0,5,Often,,,,,
44,Sweden,Male,67.0,5,Occasionally,,,,,
45,Sweden,Female,63.0,,Rarely,,,,,
46,Sweden,Male,37.0,3,Occasionally,Sweden,Large city or large city with suburb,No children under 18 years,College or university education,Privately employed labourer
47,Sweden,Male,58.0,3,Rarely,,,,,
48,Sweden,Male,60.0,4,Occasionally,,,,,
49,Sweden,Male,69.0,3,Occasionally,,,,,
50,Sweden,Female,65.0,2,Rarely,Sweden,Medium-sized city,No children under 18 years,College or university education,Old-age pensioner
51,Sweden,Female,50.0,4,Often,Sweden,Rural area,No children under 18 years,College or university education,Privately employed civil servant
52,Sweden,Male,67.0,4,Often,,,,,
53,Sweden,Female,48.0,5,Often,,,,,
54,Sweden,Female,56.0,Don´t know,Occasionally,,,,,
